6000000.jpg,1,Mehrere geparkte Radlader,662,774,263,341
6000000.jpg,2,Ein geparkter Radlader,1006,1043,320,367
6000000.jpg,3,Ein einsatzbereiter Mobilkran,1,218,148,541
6000000.jpg,4,Eine ausgeschalte Stahlbetonstuetze,729,771,420,547
6000000.jpg,5,Eine ausgeschalte Stahlbetonstuetze,678,713,401,507
6000000.jpg,6,Eine ausgeschalte Stahlbetonstuetze,932,981,496,620
6000000.jpg,7,Eine ausgeschalte Stahlbetonstuetze,571,592,369,418
6000000.jpg,8,Eine ausgeschalte Stahlbetonstuetze,685,719,366,412
6000000.jpg,9,Eine ausgeschalte Stahlbetonstuetze,871,894,358,399
6000000.jpg,10,Eine eingeschalte Stahlbetonwand,941,1100,425,563
6000000.jpg,11,Eine eingeschalte Stahlbetonwand,1071,1178,414,528
6000000.jpg,12,Ein Betoniergeruest auf einer Wandschalung,955,1109,405,492
6000000.jpg,13,Ein Betoniergeruest auf einer Wandschalung,1078,1169,407,471
6000000.jpg,14,Ein gelber Baucontainer,785,909,292,346
6000000.jpg,15,Eine gelbe Planierwalze,283,371,295,358
6000000.jpg,16,Mehrere liegende Wandschalungselemente,2,206,544,812
6000000.jpg,17,Ein nicht benutztes Wandschalungselement,247,407,684,945
6000000.jpg,18,Eine ausgeschalte Stahlbetonwand,384,655,588,909
6000000.jpg,19,Freistehende Anschlussbewehrung,386,647,524,668
6000000.jpg,20,Freistehende Anschlussbewehrung,263,412,395,443
6000000.jpg,21,Ein ungesicherter Fussweg,1014,1139,592,668
6000000.jpg,22,Ein liegendes Holzbrett,1015,1143,592,662
6000000.jpg,23,Eine eingeschalte Stahlbetonstuetze,404,442,364,467
6000000.jpg,24,Eine eingeschalte Stahlbetonstuetze,810,843,373,497
6000000.jpg,25,Eine eingeschalte Stahlbetonstuetze,857,893,397,515
6000000.jpg,26,Eine eingeschalte Stahlbetonstuetze,901,932,385,473
6000000.jpg,27,Eine eingeschalte Stahlbetonstuetze,781,813,348,432
6000000.jpg,28,Mehrere liegende Holzbretter,345,657,804,959
6000000.jpg,29,Ein ungesicherter Uebergang,606,1273,473,892
6000000.jpg,31,Frei stehende Anschlussbewehrung,205,384,349,640
6000000.jpg,32,Eine unbefestigte Baustrasse,1006,1262,639,900
6000000.jpg,33,Ein bewoelkter Himmel,11,1237,15,206
6000000.jpg,34,Mehrere liegende Holzbretter,733,916,774,885
6000000.jpg,35,Mehrere liegende Holzbretter auf einer Stahlbetondecke,422,495,453,523
6000000.jpg,36,Eine ausgeschalte Stahlbetonwand,644,895,573,809
6000000.jpg,37,Ein roter LKW mit Anhaenger,1173,1277,367,433
6000000.jpg,38,Freistehende Anschlussbewehrung einer Stuetze,757,773,377,425
6000000.jpg,39,Freistehende Anschlussbewehrung einer Stuetze,915,934,358,386
6000000.jpg,40,Freistehende Anschlussbewehrung einer Wand,217,349,349,396
6000000.jpg,41,Eine eingeschalte Stahlbetonwand,594,787,398,445
6000000.jpg,42,Ein montiertes Wandschalungselement,942,1098,427,563
6000000.jpg,43,Ein montiertes Wandschalungselement,1070,1175,416,514
6000000.jpg,44,Ein offener Stromverteilerkasten,921,975,677,751
6000000.jpg,45,Eine eingeschalte Stuetze,735,809,510,619
6000000.jpg,46,Eine eingeschalte Stuetze,1027,1068,464,573
6000000.jpg,47,Eine montierte Stahlrohrschalung,770,817,533,611
6000000.jpg,48,Eine montierte Stahlrohrschalung,1026,1069,486,567
6000000.jpg,49,Ein ungesicherter Graben,180,307,585,747
6000000.jpg,50,Ein freistehender Geruestturm,550,627,139,383
6000000.jpg,1,Mehrere geparkte Radlader,662,774,263,341
6000000.jpg,2,Ein geparkter Radlader,1006,1043,320,367
6000000.jpg,3,Ein einsatzbereiter Mobilkran,1,218,148,541
6000000.jpg,4,Eine ausgeschalte Stahlbetonstuetze,729,771,420,547
6000000.jpg,5,Eine ausgeschalte Stahlbetonstuetze,678,713,401,507
6000000.jpg,6,Eine ausgeschalte Stahlbetonstuetze,932,981,496,620
6000000.jpg,7,Eine ausgeschalte Stahlbetonstuetze,571,592,369,418
6000000.jpg,8,Eine ausgeschalte Stahlbetonstuetze,685,719,366,412
6000000.jpg,9,Eine ausgeschalte Stahlbetonstuetze,871,894,358,399
6000000.jpg,10,Eine eingeschalte Stahlbetonwand,941,1100,425,563
6000000.jpg,11,Eine eingeschalte Stahlbetonwand,1071,1178,414,528
6000000.jpg,12,Ein Betoniergeruest auf einer Wandschalung,955,1109,405,492
6000000.jpg,13,Ein Betoniergeruest auf einer Wandschalung,1078,1169,407,471
6000000.jpg,14,Ein gelber Baucontainer,785,909,292,346
6000000.jpg,15,Eine gelbe Planierwalze,283,371,295,358
6000000.jpg,16,Mehrere liegende Wandschalungselemente,2,206,544,812
6000000.jpg,17,Ein nicht benutztes Wandschalungselement,247,407,684,945
6000000.jpg,18,Eine ausgeschalte Stahlbetonwand,384,655,588,909
6000000.jpg,19,Freistehende Anschlussbewehrung,386,647,524,668
6000000.jpg,20,Freistehende Anschlussbewehrung,263,412,395,443
6000000.jpg,21,Ein ungesicherter Fussweg,1014,1139,592,668
6000000.jpg,22,Ein liegendes Holzbrett,1015,1143,592,662
6000000.jpg,23,Eine eingeschalte Stahlbetonstuetze,404,442,364,467
6000000.jpg,24,Eine eingeschalte Stahlbetonstuetze,810,843,373,497
6000000.jpg,25,Eine eingeschalte Stahlbetonstuetze,857,893,397,515
6000000.jpg,26,Eine eingeschalte Stahlbetonstuetze,901,932,385,473
6000000.jpg,27,Eine eingeschalte Stahlbetonstuetze,781,813,348,432
6000000.jpg,28,Mehrere liegende Holzbretter,345,657,804,959
6000000.jpg,29,Ein ungesicherter Uebergang,606,1273,473,892
6000000.jpg,31,Frei stehende Anschlussbewehrung,205,384,349,640
6000000.jpg,32,Eine unbefestigte Baustrasse,1006,1262,639,900
6000000.jpg,33,Ein bewoelkter Himmel,11,1237,15,206
6000000.jpg,34,Mehrere liegende Holzbretter,733,916,774,885
6000000.jpg,35,Mehrere liegende Holzbretter auf einer Stahlbetondecke,422,495,453,523
6000000.jpg,36,Eine ausgeschalte Stahlbetonwand,644,895,573,809
6000000.jpg,37,Ein roter LKW mit Anhaenger,1173,1277,367,433
